Episode,Rewards,Steps,Success
409,-464.0,484,1
410,14.0,91,1
411,-529.0,489,1
412,52.0,83,1
413,60.0,75,1
414,-655.0,500,0
415,-58.0,163,1
416,32.0,93,1
417,60.0,65,1
418,-74.0,164,1
419,-398.0,383,1
420,-625.0,500,0
421,-442.0,412,1
422,56.0,79,1
423,-296.0,351,1
424,46.0,84,1
425,-740.0,500,0
426,-620.0,500,0
427,-156.0,231,1
428,-720.0,500,0
429,56.0,79,1
430,-625.0,500,0
431,36.0,89,1
432,26.0,94,1
433,-326.0,316,1
434,30.0,95,1
435,44.0,81,1
436,-202.0,252,1
437,8.0,117,1
438,46.0,89,1
439,-28.0,118,1
440,-74.0,124,1
441,50.0,75,1
442,16.0,84,1
443,52.0,93,1
444,68.0,62,1
445,-580.0,500,0
446,-38.0,143,1
447,-36.0,121,1
448,50.0,65,1
449,-203.0,223,1
450,-361.0,356,1
451,-498.0,468,1
452,-685.0,500,0
453,-191.0,281,1
454,20.0,105,1
455,-184.0,244,1
456,-92.0,177,1
457,-584.0,484,1
458,-204.0,284,1
459,-590.0,500,0
460,-665.0,500,0
461,-224.0,284,1
462,38.0,87,1
463,62.0,68,1
464,-662.0,492,1
465,38.0,92,1
466,-24.0,109,1
467,-58.0,148,1
468,-260.0,295,1
469,-432.0,447,1
470,-546.0,441,1
471,-670.0,500,0
472,-60.0,140,1
473,-625.0,500,0
474,-630.0,500,0
475,-650.0,500,0
476,12.0,103,1
477,-32.0,97,1
478,-635.0,500,0
479,64.0,81,1
480,-675.0,500,0
481,-168.0,183,1
482,-182.0,207,1
483,54.0,76,1
484,-785.0,500,0
485,-249.0,279,1
486,-84.0,164,1
487,-6.0,91,1
488,-160.0,205,1
489,16.0,124,1
490,-695.0,500,0
491,-650.0,500,0
492,-46.0,156,1
493,-22.0,137,1
494,10.0,105,1
495,-138.0,193,1
496,-700.0,500,0
497,42.0,73,1
498,-166.0,276,1
499,-26.0,151,1
500,-635.0,500,0
